"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 09월 23일","26,963.0","26,923.0","27,045.0","26,803.0","147.37K","-0.66%"
"2019년 09월 20일","27,140.9","27,091.0","27,167.0","27,076.0","2.24K","0.20%"
"2019년 09월 19일","27,086.0","27,169.0","27,274.0","27,001.0","40.32K","-0.23%"
"2019년 09월 18일","27,148.0","27,124.0","27,185.0","26,909.0","50.74K","0.13%"
"2019년 09월 17일","27,114.0","27,114.0","27,142.0","26,988.0","59.08K","0.11%"
"2019년 09월 16일","27,084.0","27,121.0","27,180.0","27,014.0","93.74K","-0.49%"
"2019년 09월 13일","27,218.0","27,194.0","27,326.0","27,193.0","118.92K","0.07%"
"2019년 09월 12일","27,198.0","27,158.0","27,320.0","27,110.0","204.36K","0.20%"
"2019년 09월 11일","27,144.0","26,901.0","27,169.0","26,849.0","158.60K","0.93%"
"2019년 09월 10일","26,894.0","26,853.0","26,919.0","26,717.0","171.65K","0.20%"
"2019년 09월 09일","26,840.0","26,807.0","26,913.0","26,771.0","136.59K","0.12%"
"2019년 09월 06일","26,808.0","26,688.0","26,869.0","26,686.0","143.55K","0.40%"
"2019년 09월 05일","26,701.0","26,372.0","26,844.0","26,355.0","222.27K","1.25%"
"2019년 09월 04일","26,372.0","26,102.0","26,388.0","26,083.0","176.05K","0.96%"
"2019년 09월 03일","26,122.0","26,243.0","26,372.0","25,977.0","286.42K","-0.29%"
"2019년 09월 02일","26,198.0","26,278.5","26,371.0","26,132.5","-","-0.30%"
"2019년 09월 01일","26,276.0","26,206.0","26,292.5","26,071.0","-","-0.49%"
"2019년 08월 30일","26,406.0","26,366.0","26,559.0","26,299.0","192.17K","0.11%"
"2019년 08월 29일","26,378.0","25,992.0","26,407.0","25,930.0","187.18K","1.31%"
"2019년 08월 28일","26,037.0","25,756.0","26,044.0","25,620.0","210.92K","1.14%"
"2019년 08월 27일","25,744.0","25,924.0","26,069.0","25,711.0","236.94K","-0.77%"
"2019년 08월 26일","25,943.0","25,462.0","25,986.0","25,266.0","279.43K","1.06%"
"2019년 08월 23일","25,670.0","26,225.0","26,347.0","25,492.0","339.65K","-2.12%"
"2019년 08월 22일","26,225.0","26,244.0","26,375.0","26,086.0","175.62K","-0.00%"
"2019년 08월 21일","26,226.0","25,883.0","26,265.0","25,872.0","139.88K","1.14%"
"2019년 08월 20일","25,931.0","26,102.0","26,198.0","25,885.0","157.40K","-0.72%"
"2019년 08월 19일","26,118.0","25,912.0","26,237.0","25,912.0","152.10K","0.81%"
"2019년 08월 16일","25,907.0","25,585.0","25,929.0","25,576.0","196.93K","1.30%"
"2019년 08월 15일","25,575.0","25,373.0","25,707.0","25,226.0","326.62K","0.47%"
"2019년 08월 14일","25,455.0","26,302.0","26,352.0","25,410.0","340.94K","-3.26%"
"2019년 08월 13일","26,314.0","25,872.0","26,408.0","25,750.0","291.67K","1.73%"
"2019년 08월 12일","25,867.0","26,263.0","26,353.0","25,803.0","215.25K","-1.53%"
"2019년 08월 09일","26,268.0","26,286.0","26,394.0","26,074.0","260.22K","-0.37%"
"2019년 08월 08일","26,365.0","25,935.0","26,373.0","25,846.0","228.94K","1.64%"
"2019년 08월 07일","25,940.0","25,897.0","26,035.0","25,392.0","352.24K","0.06%"
"2019년 08월 06일","25,924.0","25,458.0","25,998.0","25,032.0","356.71K","1.46%"
"2019년 08월 05일","25,550.0","26,431.0","26,460.0","25,475.0","399.22K","-3.40%"
"2019년 08월 02일","26,449.0","26,517.0","26,663.0","26,213.0","359.33K","-0.35%"
"2019년 08월 01일","26,543.0","26,750.0","27,147.0","26,512.0","354.57K","-1.16%"
