"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 10월 30일","8,111.25","8,057.25","8,141.00","8,020.50","381.31K","0.70%"
"2019년 10월 29일","8,055.25","8,109.25","8,118.75","8,050.75","351.25K","-0.49%"
"2019년 10월 28일","8,094.75","8,048.00","8,127.50","8,048.00","309.11K","0.73%"
"2019년 10월 25일","8,035.75","7,928.50","8,041.50","7,918.50","348.32K","1.36%"
"2019년 10월 24일","7,928.25","7,922.75","7,984.00","7,913.25","380.97K","0.34%"
"2019년 10월 23일","7,901.50","7,846.25","7,918.25","7,810.25","348.67K","0.54%"
"2019년 10월 22일","7,858.75","7,949.25","7,988.75","7,837.25","377.55K","-1.13%"
"2019년 10월 21일","7,948.25","7,874.25","7,951.75","7,865.75","275.03K","0.86%"
"2019년 10월 18일","7,880.75","7,953.75","7,958.50","7,835.75","437.75K","-0.91%"
"2019년 10월 17일","7,952.75","7,954.25","7,994.75","7,922.00","368.62K","0.05%"
"2019년 10월 16일","7,948.50","7,960.00","7,960.25","7,907.50","347.55K","-0.14%"
"2019년 10월 15일","7,959.75","7,862.25","7,971.75","7,859.75","347.66K","1.30%"
"2019년 10월 14일","7,857.50","7,850.25","7,894.75","7,807.00","311.10K","-0.02%"
"2019년 10월 11일","7,859.00","7,783.25","7,918.50","7,767.00","490.52K","1.27%"
"2019년 10월 10일","7,760.25","7,702.25","7,798.75","7,583.25","535.04K","0.79%"
"2019년 10월 09일","7,699.75","7,621.00","7,732.00","7,604.50","404.17K","1.02%"
"2019년 10월 08일","7,622.00","7,736.00","7,784.50","7,613.50","552.15K","-1.52%"
"2019년 10월 07일","7,740.00","7,712.50","7,799.75","7,682.50","381.26K","-0.35%"
"2019년 10월 04일","7,767.25","7,656.75","7,773.75","7,624.00","420.54K","1.42%"
"2019년 10월 03일","7,658.50","7,551.50","7,661.50","7,474.25","582.82K","1.49%"
"2019년 10월 02일","7,546.25","7,711.00","7,730.50","7,525.50","586.57K","-1.94%"
"2019년 10월 01일","7,695.50","7,784.00","7,841.50","7,691.00","478.76K","-0.97%"
"2019년 09월 30일","7,770.50","7,735.50","7,788.75","7,705.75","337.87K","0.90%"
"2019년 09월 27일","7,701.25","7,787.00","7,822.00","7,641.00","598.17K","-1.10%"
"2019년 09월 26일","7,787.25","7,822.50","7,842.75","7,734.75","489.32K","-0.42%"
"2019년 09월 25일","7,820.25","7,738.25","7,844.25","7,663.00","540.08K","1.10%"
"2019년 09월 24일","7,735.25","7,869.00","7,904.75","7,701.75","609.26K","-1.47%"
"2019년 09월 23일","7,850.50","7,839.25","7,897.50","7,807.75","348.18K","-0.62%"
"2019년 09월 20일","7,899.48","7,899.50","7,932.75","7,890.75","3.93K","0.04%"
"2019년 09월 19일","7,896.25","7,898.75","7,951.00","7,830.50","69.14K","0.03%"
"2019년 09월 18일","7,894.25","7,890.75","7,906.75","7,790.00","122.28K","0.05%"
